"gene","ensembl_id","stat","log2FoldChange"
"KRT7","ENSG00000135480",0.00685739637134497,-1.10379643750707
"CYB5R3","ENSG00000100243",0.00685739637134497,-0.812123258406903
"ARHGAP44","ENSG00000006740",0.006927759536139,-1.13190879636523
"SELENOI","ENSG00000138018",0.006927759536139,0.556123902902168
"CELSR1","ENSG00000075275",0.00698510837085046,0.489584084290131
"TACSTD2","ENSG00000184292",0.00702144937212965,-0.342314639292449
"AP1S1","ENSG00000106367",0.00703371811397743,0.442303029625952
"GAB2","ENSG00000033327",0.0071136703809318,0.675766009206139
"SH3BGRL","ENSG00000131171",0.00715603710394225,-0.506881390292655
"GTF3A","ENSG00000122034",0.00750287825089509,-0.569731515381885
"TGIF2","ENSG00000118707",0.00762348690969475,1.01918494301561
"ATP5F1B","ENSG00000110955",0.00763001315023961,0.389388330905071
"LMBRD1","ENSG00000168216",0.0082737552191472,-0.567230595714622
"HDLBP","ENSG00000115677",0.00852535772567844,-0.460410845157786
"FAM107B","ENSG00000065809",0.0087232067707023,-1.17456740163089
"MEF2D","ENSG00000116604",0.00887690068835766,-0.586303361363637
"MSTO1","ENSG00000125459",0.00911377379580355,0.744970210240026
"CCP110","ENSG00000103540",0.00911625208328332,0.697960801757618
"RWDD2B","ENSG00000156253",0.00926011825487065,0.576986991069628
"RPL8","ENSG00000161016",0.00926180493394596,-0.423781827928724
"COMT","ENSG00000093010",0.00926455218056182,-0.691859298955413
"TMEM59","ENSG00000116209",0.00961219734480614,-0.409647649772201
"ADAMTS9","ENSG00000163638",0.00961219734480614,1.088766892588
"GPSM2","ENSG00000121957",0.00961219734480614,0.611569403090132
"ATG5","ENSG00000057663",0.00961219734480614,-0.604892528137587
"CNNM2","ENSG00000148842",0.00961219734480614,0.452759623421612
"PGRMC2","ENSG00000164040",0.00961219734480614,-0.402049534850207
"ZBTB8OS","ENSG00000176261",0.00961219734480614,-0.428564554024631
"EIF3E","ENSG00000104408",0.00961980731717533,0.407367174677384
"ENSG00000271880","ENSG00000271880",0.00961980731717533,0.708977255771182
"ACAT2","ENSG00000120437",0.00980570026327234,0.956582621299521
"PPM1A","ENSG00000100614",0.00980570026327234,-0.86300160187897
"GABARAPL2","ENSG00000034713",0.00980570026327234,-0.393473464395991
"ASAP1","ENSG00000153317",0.0101330664347259,-0.527597905616485
"DAZAP1","ENSG00000071626",0.0101330664347259,-0.966355007150291
"EIF4A1","ENSG00000161960",0.0102910824740687,0.386327761373124
"CTNND2","ENSG00000169862",0.0104509377273048,-0.522127634576152
"H4C12","ENSG00000273542",0.0105956978306797,0.630528697660888
"SLC35D2","ENSG00000130958",0.0105956978306797,-0.884120435696644
"USP25","ENSG00000155313",0.0105956978306797,-0.584898597632019
"UPF3A","ENSG00000169062",0.0107831064831604,-0.792031807299288
"FADS1","ENSG00000149485",0.0110105242132395,0.574327703481832
"BNIP3","ENSG00000176171",0.011122011703986,0.468274681980132
"TASOR2","ENSG00000108021",0.0111578448006935,0.618554656418567
"MAEA","ENSG00000090316",0.011241744362756,-1.00633255306949
"GUSB","ENSG00000169919",0.011322614976829,-0.491820328283348
"PPP2R5A","ENSG00000066027",0.011322614976829,0.777049792609746
"CDK8","ENSG00000132964",0.011755463318749,-0.864365079715098
"C18orf32","ENSG00000177576",0.0118295336377928,-0.479348213263321
"RPL18A","ENSG00000105640",0.0118295336377928,0.658760769886459
"ATOX1","ENSG00000177556",0.011917311646311,-0.559257606036152
